"Board","Profession","Owner Name","Series","Modifier","Mail Address 1","Mail Address 2","Mail Address 3","Mail City","Mail State","Mail ZIP","Mail County","DBA","Location Address 1","Location Address 2","Location Address 3","Location City","Location State","Location ZIP","Location County","License Number","Primary Status","Secondary Status","Original Licensure Date","Effective Date","Expiration Date","Tax Stamp Designation","Smoking Designation","Retail Tobacco Indicator"
"400","4005","R M DISTRIBUTORS INC","JDBW","","7050 SW 4TH STREET","","","MIAMI","FL","33144-2792","23","R M DISTRIBUTORS INC","7050 SW 4TH STREET","","","MIAMI","FL","33144","23","WSL2304834","20","20","","03/20/2002","03/31/2025","","",""
"400","4005","BERNIE LITTLE DISTRIBUTORS INC","KLD","","P O BOX 1128","","","EATON PARK","FL","338401128","63","BERNIE LITTLE DISTRIBUTOR","4105 MAINE AVENUE","","","EATON PARK","FL","33840","63","WSL6300023","20","20","","10/30/2006","03/31/2025","","",""
"400","4005","BERNIE LITTLE DISTRIBUTORS INC","KLD","","P O BOX 1128","","","EATON PARK","FL","338401128","63","BERNIE LITTLE DISTRIBUTOR","2100 SCENIC HIGHWAY","","","SEBRING","FL","33870","38","WSL3800440","20","20","","12/21/2006","03/31/2025","","",""
"400","4005","HELLENIC SHIP SUPPLY INC","MEXP","","1016 CHANNELSIDE DR","","","TAMPA","FL","33602","39","HELLENIC SHIP SUPPLY INC","1016 CHANNELSIDE DR","","","TAMPA","FL","33602","39","WSL3900183","20","20","","01/24/2023","09/30/2024","","",""
"400","4005","CENTRAL BEER IMPORT & EXPORT INC","IMPR","","175 SW 7TH STREET, SUITE 1502","","","MIAMI","FL","33130","23","CENTRAL BEER IMPORT & EXPORT INC","175 SW 7TH STREET, SUITE 1502","","","MIAMI","FL","33130","23","WSL2325040","20","20","04/30/2002","07/19/2024","09/30/2024","","",""
"400","4005","GRANTHAM DISTRIBUTING CO INC","KLD","","2685 HANSROB ROAD","","","ORLANDO","FL","32804","58","GRANTHAM DISTRIBUTING CO INC","2685 HANSROB ROAD","","","ORLANDO","FL","32801","58","WSL5800224","20","20","","08/02/2002","09/30/2024","","",""
"400","4005","ANTARES INC","KLD","","7250 NW 36TH AVENUE","","","MIAMI","FL","33147","23","ANTARES INC/WINE CLEARING","7250 NW 36TH AVENUE","","","MIAMI","FL","33147","23","WSL2301586","20","20","","05/09/2024","03/31/2025","","",""
"400","4005","PALM BAY INTERNATIONAL INC","IMPR","","48 HARBOR PARK DRIVE","","","PORT WASHINGTON","NY","11050","732","PBS, EDV, S & M, CIC, PBI","777 S FLAGLER DR","STE 1201A WEST TOWER","","WEST PALM BEACH","FL","33401","60","WSL6006416","20","20","","08/02/2002","09/30/2025","","",""
"400","4005","CHAMPION BRANDS INC","KLD","","P O BOX 56260","","","JACKSONVILLE","FL","32257-6260","26","CHAMPION BRANDS INC","5571 FLA MINING BLVD S","","","JACKSONVILLE","FL","32257","26","WSL2601463","20","20","","07/12/2018","09/30/2024","","",""
"400","4005","FLORIDA ORANGE GROVES, INC.","AMW","","1500 PASADENA AVE. SO.","","","ST. PETERSBURG","FL","33707","62","FLORIDA ORANGE GROVES, INC.","1500 PASADENA AVENUE, SOUTH","","","SOUTH PASADENA","FL","33707","62","WSL6208997","20","20","11/18/1996","01/01/1901","09/30/2025","","",""
"400","4005","FLORIDA ORANGE GROVES, INC.","JDBW","","1500 PASADENA AVE. SO.","","","ST. PETERSBURG","FL","33707","62","FLORIDA ORANGE GROVES, INC.","1500 PASADENA AVENUE SOUTH","","","SOUTH PASADENA","FL","33707","62","WSL6209073","20","20","03/19/1997","03/11/2008","09/30/2025","","",""
"400","4005","STEPHENS DISTRIBUTING COMPANY","KLD","","5650 ANGLERS AVE","","","FT LAUDERDALE","FL","33312","16","STEPHENS DISTRIBUTING COMPANY","185 ANGLERS AVE","","","FORT LAUDERDALE","FL","33312","16","WSL1600137","20","20","","06/19/2007","03/31/2025","","",""
"400","4005","FLORIDA BREWERY INC (THE)","CMB","","202 GANDY RD","","","AUBURNDALE","FL","338232701","63","FLORIDA BREWERY INC (THE)","202 GANDY RD","","","AUBURNDALE","FL","33823-2701","63","WSL6300166","20","20","","11/22/2021","09/30/2024","","",""
"400","4005","MAZELTOV BEVERAGES IMPORT & EXPORT INC","KLD","","8420 NW 66TH STREET","","","MIAMI","FL","331662629","23","MAZELTOV BEVERAGES IMPORT & EXPORT INC","8420 NW 66TH STREET","","","MIAMI","FL","33166","23","WSL2307863","20","20","","04/01/2002","03/31/2025","","",""
